x,current_suppression_factor
2.135000000000000000e+02,2.934362109935769958e+00
2.140000000000000000e+02,2.935995950446929736e+00
2.145000000000000000e+02,2.937630676027491727e+00
2.150000000000000000e+02,2.939266336462537321e+00
2.155000000000000000e+02,2.940902882952858732e+00
2.160000000000000000e+02,2.942540365338990771e+00
2.165000000000000000e+02,2.944178734767370464e+00
2.170000000000000000e+02,2.945818041134048659e+00
2.175000000000000000e+02,2.947458235531043247e+00
2.180000000000000000e+02,2.949099367909986835e+00
2.185000000000000000e+02,2.950741389308416451e+00
2.190000000000000000e+02,2.952384349733610414e+00
2.195000000000000000e+02,2.954028200168560048e+00
2.200000000000000000e+02,2.955672990676251111e+00
2.205000000000000000e+02,2.957318672185073716e+00
2.210000000000000000e+02,2.958965294813777902e+00
2.215000000000000000e+02,2.960612809436093062e+00
2.220000000000000000e+02,2.962261266226597467e+00
2.225000000000000000e+02,2.963910616004298060e+00
2.230000000000000000e+02,2.965560908999663514e+00
2.235000000000000000e+02,2.967212095976918818e+00
2.240000000000000000e+02,2.968864227222479446e+00
2.245000000000000000e+02,2.970517253445731143e+00
2.250000000000000000e+02,2.972171224989104577e+00
2.255000000000000000e+02,2.973826092507076968e+00
2.260000000000000000e+02,2.975481906398156351e+00
2.265000000000000000e+02,2.977138617261855469e+00
2.270000000000000000e+02,2.978796275552819672e+00
2.275000000000000000e+02,2.980454831815535943e+00
2.280000000000000000e+02,2.982114336560849122e+00
2.285000000000000000e+02,2.983774740278160031e+00
2.290000000000000000e+02,2.985436093534576507e+00
2.295000000000000000e+02,2.987098346764348822e+00
2.300000000000000000e+02,2.988761550590912197e+00
2.305000000000000000e+02,2.990425655393305515e+00
2.310000000000000000e+02,2.992090711851353113e+00
2.315000000000000000e+02,2.993756670288821198e+00
2.320000000000000000e+02,2.995423581441986727e+00
2.325000000000000000e+02,2.997091395579280615e+00
2.330000000000000000e+02,2.998760163493498165e+00
2.335000000000000000e+02,3.000429835397670164e+00
2.340000000000000000e+02,3.002100462141170656e+00
2.345000000000000000e+02,3.003771993881574787e+00
2.350000000000000000e+02,3.005444481524896627e+00
2.355000000000000000e+02,3.007117875173193511e+00
2.360000000000000000e+02,3.008792225789178154e+00
2.365000000000000000e+02,3.010467483419331902e+00
2.370000000000000000e+02,3.012143699083135839e+00
2.375000000000000000e+02,3.013820822771423824e+00
2.380000000000000000e+02,3.015498905560510590e+00
2.385000000000000000e+02,3.017177897385523000e+00
2.390000000000000000e+02,3.018857849379666280e+00
2.395000000000000000e+02,3.020538711422308342e+00
2.400000000000000000e+02,3.022220534703608408e+00
2.405000000000000000e+02,3.023903269047100828e+00
2.410000000000000000e+02,3.025586965699969877e+00
2.415000000000000000e+02,3.027271574429858170e+00
2.420000000000000000e+02,3.028957146541031875e+00
2.425000000000000000e+02,3.030643631745180588e+00
2.430000000000000000e+02,3.032331081403718542e+00
2.435000000000000000e+02,3.034019445172321916e+00
2.440000000000000000e+02,3.035708774469612958e+00
2.445000000000000000e+02,3.037399018895188263e+00
2.450000000000000000e+02,3.039090229924947817e+00
2.455000000000000000e+02,3.040782357102348676e+00
2.460000000000000000e+02,3.042475451960621857e+00
2.465000000000000000e+02,3.044169463987036472e+00
2.470000000000000000e+02,3.045864444772211410e+00
2.475000000000000000e+02,3.047560343747155454e+00
2.480000000000000000e+02,3.049257212559954855e+00
2.485000000000000000e+02,3.050955000585287458e+00
2.490000000000000000e+02,3.052653759528770827e+00
2.495000000000000000e+02,3.054353438708691915e+00
2.500000000000000000e+02,3.056054089888264880e+00
2.505000000000000000e+02,3.057755662329320057e+00
2.510000000000000000e+02,3.059458207852729927e+00
2.515000000000000000e+02,3.061161675663808701e+00
