x,current_density
1.755000000000000000e+02,1.131247830563609123e+09
1.760000000000000000e+02,1.110657624891513586e+09
1.765000000000000000e+02,1.090442177829495430e+09
1.770000000000000000e+02,1.070594688969471693e+09
1.775000000000000000e+02,1.051108440665135145e+09
1.780000000000000000e+02,1.031976877808402181e+09
1.785000000000000000e+02,1.013193525067632437e+09
1.790000000000000000e+02,9.947520637864346504e+08
1.795000000000000000e+02,9.766462522072157860e+08
1.800000000000000000e+02,9.588699995961422920e+08
1.805000000000000000e+02,9.414172893443337679e+08
1.810000000000000000e+02,9.242822504190357924e+08
1.815000000000000000e+02,9.074590832386598587e+08
1.820000000000000000e+02,8.909421285466132164e+08
1.825000000000000000e+02,8.747257959601283073e+08
1.830000000000000000e+02,8.588046303597195148e+08
1.835000000000000000e+02,8.431732430153530836e+08
1.840000000000000000e+02,8.278263755811463594e+08
1.845000000000000000e+02,8.127588337059100866e+08
1.850000000000000000e+02,7.979655487194721699e+08
1.855000000000000000e+02,7.834415136379784346e+08
1.860000000000000000e+02,7.691818426251050234e+08
1.865000000000000000e+02,7.551817093057372570e+08
1.870000000000000000e+02,7.414364040823339224e+08
1.875000000000000000e+02,7.279412746737153530e+08
1.880000000000000000e+02,7.146917813639500141e+08
1.885000000000000000e+02,7.016834396859880686e+08
1.890000000000000000e+02,6.889118736776452065e+08
1.895000000000000000e+02,6.763727606327167749e+08
1.900000000000000000e+02,6.640618824359452724e+08
1.905000000000000000e+02,6.519750723070367575e+08
1.910000000000000000e+02,6.401082642839063406e+08
1.915000000000000000e+02,6.284574418877104521e+08
1.920000000000000000e+02,6.170186858211641312e+08
1.925000000000000000e+02,6.057881244852958918e+08
1.930000000000000000e+02,5.947619799572211504e+08
1.935000000000000000e+02,5.839365202918262482e+08
1.940000000000000000e+02,5.733081038410594463e+08
1.945000000000000000e+02,5.628731332761591673e+08
1.950000000000000000e+02,5.526280983082876205e+08
1.955000000000000000e+02,5.425695313692399263e+08
1.960000000000000000e+02,5.326940487910862565e+08
1.965000000000000000e+02,5.229983080855376720e+08
1.970000000000000000e+02,5.134790476381837130e+08
1.975000000000000000e+02,5.041330455288484097e+08
1.980000000000000000e+02,4.949571577940033674e+08
1.985000000000000000e+02,4.859482787325292230e+08
1.990000000000000000e+02,4.771033777879515290e+08
1.995000000000000000e+02,4.684194612860280275e+08
2.000000000000000000e+02,4.598936079865912795e+08
2.005000000000000000e+02,4.515229322013133168e+08
2.010000000000000000e+02,4.433046180631455183e+08
2.015000000000000000e+02,4.352358839744751453e+08
2.020000000000000000e+02,4.273140156404197812e+08
2.025000000000000000e+02,4.195363317993879914e+08
2.030000000000000000e+02,4.119002160648172498e+08
2.035000000000000000e+02,4.044030838918799758e+08
2.040000000000000000e+02,3.970424132706466317e+08
2.045000000000000000e+02,3.898157128843482137e+08
2.050000000000000000e+02,3.827205516953942776e+08
2.055000000000000000e+02,3.757545282522109151e+08
2.060000000000000000e+02,3.689152992080503702e+08
2.065000000000000000e+02,3.622005497349736094e+08
2.070000000000000000e+02,3.556080210139473677e+08
2.075000000000000000e+02,3.491354817160347700e+08
2.080000000000000000e+02,3.427807545008871555e+08
2.085000000000000000e+02,3.365416885266467333e+08
2.090000000000000000e+02,3.304161849926018119e+08
2.095000000000000000e+02,3.244021706406952739e+08
2.100000000000000000e+02,3.184976223768208027e+08
2.105000000000000000e+02,3.127005417281678915e+08
2.110000000000000000e+02,3.070089785763952136e+08
2.115000000000000000e+02,3.014210065363331437e+08
2.120000000000000000e+02,2.959347458330697417e+08
2.125000000000000000e+02,2.905483395687769651e+08
2.130000000000000000e+02,2.852599757745883465e+08
2.135000000000000000e+02,2.800678645335143209e+08
