x,oxygen_diffusion_profile
9.800000000000000000e+01,1.423428921703968390e-05
9.850000000000000000e+01,1.283348574424160851e-05
9.900000000000000000e+01,1.156448134823552819e-05
9.950000000000000000e+01,1.041550610564858845e-05
1.000000000000000000e+02,9.375777573065501846e-06
1.005000000000000000e+02,8.435424131293657140e-06
1.010000000000000000e+02,7.585413698534143815e-06
1.015000000000000000e+02,6.817487489237542965e-06
1.020000000000000000e+02,6.124098510196467857e-06
1.025000000000000000e+02,5.498354499953250838e-06
1.030000000000000000e+02,4.933965031825569553e-06
1.035000000000000000e+02,4.425192514754052608e-06
1.040000000000000000e+02,3.966806839716910692e-06
1.045000000000000000e+02,3.554043432617665513e-06
1.050000000000000000e+02,3.182564487312507574e-06
1.055000000000000000e+02,2.848423164784434540e-06
1.060000000000000000e+02,2.548030556388136634e-06
1.065000000000000000e+02,2.278125220563460984e-06
1.070000000000000000e+02,2.035745113449647766e-06
1.075000000000000000e+02,1.818201744419347366e-06
1.080000000000000000e+02,1.623056397692276305e-06
1.085000000000000000e+02,1.448098270884443244e-06
1.090000000000000000e+02,1.291324390605447281e-06
1.095000000000000000e+02,1.150921174036905446e-06
1.100000000000000000e+02,1.025247513819013339e-06
1.105000000000000000e+02,9.128192715468273116e-07
1.110000000000000000e+02,8.122950727434004301e-07
1.115000000000000000e+02,7.224633033437506823e-07
1.120000000000000000e+02,6.422302145035051661e-07
1.125000000000000000e+02,5.706090489514039101e-07
1.130000000000000000e+02,5.067101081474057396e-07
1.135000000000000000e+02,4.497316852023252698e-07
1.140000000000000000e+02,3.989517938727626332e-07
1.145000000000000000e+02,3.537206289812701682e-07
1.150000000000000000e+02,3.134536983389363811e-07
1.155000000000000000e+02,2.776255706800773560e-07
1.160000000000000000e+02,2.457641882697118042e-07
1.165000000000000000e+02,2.174456967275601770e-07
1.170000000000000000e+02,1.922897482405742140e-07
1.175000000000000000e+02,1.699552377223145207e-07
1.180000000000000000e+02,1.501364346348099023e-07
1.185000000000000000e+02,1.325594761289361449e-07
1.190000000000000000e+02,1.169791898948899271e-07
1.195000000000000000e+02,1.031762176567795832e-07
1.200000000000000000e+02,9.095441260568842599e-08
1.205000000000000000e+02,8.013848625479029192e-08
1.210000000000000000e+02,7.057188222846921782e-08
1.215000000000000000e+02,6.211485637496047314e-08
1.220000000000000000e+02,5.464274432821150886e-08
1.225000000000000000e+02,4.804439924867177524e-08
1.230000000000000000e+02,4.222078395309258128e-08
1.235000000000000000e+02,3.708370300847806959e-08
1.240000000000000000e+02,3.255466162285450468e-08
1.245000000000000000e+02,2.856383932289365309e-08
1.250000000000000000e+02,2.504916747270670283e-08
1.255000000000000000e+02,2.195550066583225215e-08
1.260000000000000000e+02,1.923387291990431099e-08
1.265000000000000000e+02,1.684083042647917696e-08
1.270000000000000000e+02,1.473783336259488693e-08
1.275000000000000000e+02,1.289071996096719929e-08
1.280000000000000000e+02,1.126922666714835587e-08
1.285000000000000000e+02,9.846558789024610697e-09
1.290000000000000000e+02,8.599006570925374279e-09
1.295000000000000000e+02,7.505602105330054145e-09
1.300000000000000000e+02,6.547812933352875261e-09
1.305000000000000000e+02,5.709268584305485796e-09
1.310000000000000000e+02,4.975516667850964557e-09
1.315000000000000000e+02,4.333805462541672067e-09
1.320000000000000000e+02,3.772890244613206150e-09
1.325000000000000000e+02,3.282860873329334056e-09
1.330000000000000000e+02,2.854988396289427199e-09
1.335000000000000000e+02,2.481588662091233084e-09
1.340000000000000000e+02,2.155901130592513441e-09
1.345000000000000000e+02,1.871981254585209340e-09
1.350000000000000000e+02,1.624604972685771249e-09
1.355000000000000000e+02,1.409184003222329144e-09
1.360000000000000000e+02,1.221690764303926008e-09
1.365000000000000000e+02,1.058591867409724049e-09
1.370000000000000000e+02,9.167892419493959950e-10
1.375000000000000000e+02,7.935680474315370718e-10
1.380000000000000000e+02,6.865506191506197657e-10
1.385000000000000000e+02,5.936557735947246667e-10
1.390000000000000000e+02,5.130628719360428478e-10
1.395000000000000000e+02,4.431801047682265941e-10
1.400000000000000000e+02,3.826165194064144431e-10
1.405000000000000000e+02,3.301573632109474286e-10
1.410000000000000000e+02,2.847423631201904199e-10
1.415000000000000000e+02,2.454466034142685943e-10
1.420000000000000000e+02,2.114637011641039965e-10
1.425000000000000000e+02,1.820910122875621320e-10
1.430000000000000000e+02,1.567166310357358599e-10
1.435000000000000000e+02,1.348079724274787624e-10
1.440000000000000000e+02,1.159017509663339990e-10
1.445000000000000000e+02,9.959519020605679048e-11
1.450000000000000000e+02,8.553831664581219647e-11
1.455000000000000000e+02,7.342720827486004847e-11
1.460000000000000000e+02,6.299808306628019949e-11
1.465000000000000000e+02,5.402212603586892048e-11
1.470000000000000000e+02,4.630096531214141769e-11
1.475000000000000000e+02,3.966271816492182348e-11
1.480000000000000000e+02,3.395853725603795848e-11
1.485000000000000000e+02,2.905959563411030169e-11
1.490000000000000000e+02,2.485445631139838464e-11
1.495000000000000000e+02,2.124677873717601636e-11
1.500000000000000000e+02,1.815332021151789928e-11
1.505000000000000000e+02,1.550219534840184875e-11
1.510000000000000000e+02,1.323136117162495017e-11
1.515000000000000000e+02,1.128729937732874266e-11
1.520000000000000000e+02,9.623870781973824752e-12
1.525000000000000000e+02,8.201320047112849729e-12
1.530000000000000000e+02,6.985411479275296590e-12
1.535000000000000000e+02,5.946679086574206109e-12
1.540000000000000000e+02,5.059776170561599135e-12
1.545000000000000000e+02,4.302911575569486780e-12
1.550000000000000000e+02,3.657361337758082818e-12
1.555000000000000000e+02,3.107045898557151674e-12
1.560000000000000000e+02,2.638164295372235269e-12
1.565000000000000000e+02,2.238877836964792951e-12
1.570000000000000000e+02,1.899036730075201870e-12
1.575000000000000000e+02,1.609943963832398508e-12
1.580000000000000000e+02,1.364151493604582671e-12
1.585000000000000000e+02,1.155284408860878695e-12
1.590000000000000000e+02,9.778893315264215101e-13
