x,screening_profile_corrected
1.520000000000000000e+02,9.921075361202867926e-01
1.525000000000000000e+02,9.745922017407694371e-01
1.530000000000000000e+02,9.573861028988741584e-01
1.535000000000000000e+02,9.404837640776683161e-01
1.540000000000000000e+02,9.238798382766876260e-01
1.545000000000000000e+02,9.075690416092299095e-01
1.550000000000000000e+02,8.915462142072863028e-01
1.555000000000000000e+02,8.758062571077767089e-01
1.560000000000000000e+02,8.603441910259520542e-01
1.565000000000000000e+02,8.451550954504619684e-01
1.570000000000000000e+02,8.302341653598270810e-01
1.575000000000000000e+02,8.155766524490354330e-01
1.580000000000000000e+02,8.011779198610716746e-01
1.585000000000000000e+02,7.870333854704453236e-01
1.590000000000000000e+02,7.731385746992446295e-01
1.595000000000000000e+02,7.594890657856072647e-01
1.600000000000000000e+02,7.460805407513367848e-01
1.605000000000000000e+02,7.329087325858493207e-01
1.610000000000000000e+02,7.199694744300422222e-01
1.615000000000000000e+02,7.072586486086782642e-01
1.620000000000000000e+02,6.947722340929348706e-01
1.625000000000000000e+02,6.825062573165358026e-01
1.630000000000000000e+02,6.704568379772213316e-01
1.635000000000000000e+02,6.586201415742003462e-01
1.640000000000000000e+02,6.469924236066775247e-01
1.645000000000000000e+02,6.355699837723819412e-01
1.650000000000000000e+02,6.243492086192495849e-01
1.655000000000000000e+02,6.133265273468968548e-01
1.660000000000000000e+02,6.024984529655935672e-01
1.665000000000000000e+02,5.918615396445815469e-01
1.670000000000000000e+02,5.814124224305802224e-01
1.675000000000000000e+02,5.711477760888129529e-01
1.680000000000000000e+02,5.610643534314596614e-01
1.685000000000000000e+02,5.511589455991495745e-01
1.690000000000000000e+02,5.414284190480083137e-01
1.695000000000000000e+02,5.318696772212053725e-01
1.700000000000000000e+02,5.224796962415411139e-01
1.705000000000000000e+02,5.132554879243999002e-01
1.710000000000000000e+02,5.041941342211806454e-01
1.715000000000000000e+02,4.952927515267098180e-01
1.720000000000000000e+02,4.865485239172325227e-01
1.725000000000000000e+02,4.779586687069826700e-01
1.730000000000000000e+02,4.695204685229221186e-01
