x,enhancement_factor
2.125000000000000000e+02,1.063487050391512367e+00
2.130000000000000000e+02,1.063487050391510147e+00
2.135000000000000000e+02,1.063487050391507927e+00
2.140000000000000000e+02,1.063487050391506150e+00
2.145000000000000000e+02,1.063487050391504596e+00
2.150000000000000000e+02,1.063487050391503042e+00
2.155000000000000000e+02,1.063487050391502153e+00
2.160000000000000000e+02,1.063487050391501265e+00
2.165000000000000000e+02,1.063487050391500155e+00
2.170000000000000000e+02,1.063487050391499489e+00
2.175000000000000000e+02,1.063487050391498823e+00
2.180000000000000000e+02,1.063487050391498379e+00
2.185000000000000000e+02,1.063487050391497712e+00
2.190000000000000000e+02,1.063487050391497268e+00
2.195000000000000000e+02,1.063487050391497046e+00
2.200000000000000000e+02,1.063487050391496602e+00
2.205000000000000000e+02,1.063487050391496380e+00
2.210000000000000000e+02,1.063487050391496158e+00
2.215000000000000000e+02,1.063487050391495936e+00
2.220000000000000000e+02,1.063487050391495714e+00
2.225000000000000000e+02,1.063487050391495492e+00
2.230000000000000000e+02,1.063487050391495492e+00
2.235000000000000000e+02,1.063487050391495048e+00
2.240000000000000000e+02,1.063487050391494826e+00
2.245000000000000000e+02,1.063487050391494826e+00
2.250000000000000000e+02,1.063487050391494826e+00
2.255000000000000000e+02,1.063487050391494826e+00
2.260000000000000000e+02,1.063487050391494826e+00
2.265000000000000000e+02,1.063487050391494826e+00
2.270000000000000000e+02,1.063487050391494826e+00
2.275000000000000000e+02,1.063487050391494382e+00
2.280000000000000000e+02,1.063487050391494382e+00
2.285000000000000000e+02,1.063487050391494382e+00
2.290000000000000000e+02,1.063487050391494160e+00
2.295000000000000000e+02,1.063487050391494160e+00
2.300000000000000000e+02,1.063487050391494160e+00
2.305000000000000000e+02,1.063487050391494160e+00
2.310000000000000000e+02,1.063487050391494160e+00
2.315000000000000000e+02,1.063487050391494160e+00
2.320000000000000000e+02,1.063487050391494160e+00
2.325000000000000000e+02,1.063487050391494160e+00
2.330000000000000000e+02,1.063487050391494160e+00
2.335000000000000000e+02,1.063487050391493716e+00
2.340000000000000000e+02,1.063487050391493716e+00
2.345000000000000000e+02,1.063487050391493716e+00
2.350000000000000000e+02,1.063487050391493716e+00
2.355000000000000000e+02,1.063487050391493716e+00
2.360000000000000000e+02,1.063487050391493716e+00
2.365000000000000000e+02,1.063487050391493716e+00
2.370000000000000000e+02,1.063487050391493494e+00
2.375000000000000000e+02,1.063487050391493494e+00
2.380000000000000000e+02,1.063487050391493494e+00
2.385000000000000000e+02,1.063487050391493494e+00
2.390000000000000000e+02,1.063487050391493494e+00
2.395000000000000000e+02,1.063487050391493494e+00
2.400000000000000000e+02,1.063487050391493494e+00
2.405000000000000000e+02,1.063487050391493494e+00
2.410000000000000000e+02,1.063487050391493494e+00
2.415000000000000000e+02,1.063487050391493272e+00
2.420000000000000000e+02,1.063487050391493272e+00
2.425000000000000000e+02,1.063487050391493272e+00
2.430000000000000000e+02,1.063487050391493272e+00
2.435000000000000000e+02,1.063487050391493272e+00
2.440000000000000000e+02,1.063487050391493272e+00
2.445000000000000000e+02,1.063487050391493272e+00
2.450000000000000000e+02,1.063487050391493272e+00
2.455000000000000000e+02,1.063487050391493050e+00
2.460000000000000000e+02,1.063487050391493050e+00
2.465000000000000000e+02,1.063487050391493050e+00
2.470000000000000000e+02,1.063487050391493050e+00
2.475000000000000000e+02,1.063487050391493050e+00
2.480000000000000000e+02,1.063487050391493050e+00
2.485000000000000000e+02,1.063487050391492827e+00
2.490000000000000000e+02,1.063487050391492827e+00
2.495000000000000000e+02,1.063487050391492827e+00
